"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"D4KEQQGU","journalArticle","2003","Hougardy, E.; Pernet, P.; Warnau, M.; Delisle, J.; Grégoire, J.-C.","Marking bark beetle parasitoids within the host plant with rubidium for dispersal studies","Entomologia Experimentalis et Applicata","","1570-7458","10.1046/j.1570-7458.2003.00073.x","http://dx.doi.org/10.1046/j.1570-7458.2003.00073.x","A technique using rubidium chloride (RbCl), a trace element, as internal label is proposed for marking hymenopteran parasitoids attacking a concealed host, Ips typographus L. (Coleoptera: Scolytidae). RbCl was introduced directly into spruce via the vascular system using glass tubing. RbCl passed through the food chain and was detected at the parasitoid level by electrothermal atomic absorption spectroscopy (EAAS) or flame emission spectroscopy (FES). Mark persistency until day 8 after emergence was tested in labelled Rhopalicus tutela (Walker) (Hymenoptera: Pteromalidae). The mark decreased with time only in fed females, probably due to excretion and/or egg resorption. The proportion of marked males did not vary with time or treatment.","2003-08-01","2018-01-19 09:45:29","2018-01-19 09:45:29","","107-114","","2","108","","","","","","","","","","","","","","","","","","","","","Braconidae; Coeloides bostrichorum; Coleoptera; EAAS; FES; Hymenoptera; Ips typographus; mark-capture; Pteromalidae; Rhopalicus tutela; Scolytidae; tree infusion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEGR2PMI","journalArticle","2004","Hougardy, E.; Grégoire, J.-C.","Biological differences reflect host preference in two parasitoids attacking the bark beetle Ips typographus (Coleoptera: Scolytidae) in Belgium","Bulletin of Entomological Research","","0007-4853","10.1079/BER2004305","https://www.cambridge.org/core/article/biological-differences-reflect-host-preference-in-two-parasitoids-attacking-the-bark-beetle-ips-typographus-coleoptera-scolytidae-in-belgium/C8E31F58E36E391CA6CB964DA24891EB","AbstractThe basic reproductive biology of two ectoparasitoids developing on the late larval instars of the scolytid Ips typographus Linnaeus, a pest of spruce forests in Eurasia, was studied with the purpose of explaining which biological features allow the two species to share the same host. The anautogenous braconid Coeloides bostrichorum Giraud had a longer pre-oviposition period (5.1 vs. 3.3 days), a greater egg load (8.1 vs. 6.1 eggs), survived longer and emerged later than the pteromalid Rhopalicus tutela (Walker). In contrast, R. tutela was autogenous and tended to be more fecund under constrained conditions (9.7 vs. 5.1 total offspring per female). The longer pre-oviposition period of the specialist C. bostrichorum, coupled with its greater longevity, afforded the opportunity of better synchronization of ovipositing females with late instar larvae of I. typographus. By contrast, the polyphagous R. tutela matured rapidly, allowing parasitism of both younger and older larval instars of I. typographus in addition to other species. These small differences favoured the co-occurrence of the two parasitoid species on the same attacked trees.","2004","2018-01-19 09:45:23","2018-01-19 09:45:23","","341-347","","4","94","","","","","","","","","","","","","Cambridge Core","","Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RA4K9AGJ","journalArticle","2003","Hougardy, Evelyne; Grégoire, Jean-Claude","Cleptoparasitism increases the host finding ability of a polyphagous parasitoid species, Rhopalicus tutela (Hymenoptera: Pteromalidae)","Behavioral Ecology and Sociobiology","","1432-0762","10.1007/s00265-003-0688-y","https://doi.org/10.1007/s00265-003-0688-y","Host finding abilities were investigated in the braconid Coeloides bostrichorum and the pteromalid Rhopalicus tutela, two ectoparasitoid wasps attacking the late instar of the bark beetle Ips typographus. Under laboratory conditions, important differences in the host-searching behaviour of these species were found, R. tutela being highly mobile as compared to C. bostrichorum. In the presence of C. bostrichorum, R. tutela behaved as a cleptoparasitoid, displacing the females from their oviposition sites and stealing the hosts previously located by the braconid. This behaviour facilitated host finding in R. tutela and could partly explain the relative success of the polyphagous R. tutela when occurring with the more specialised C. bostrichorum.","2003-12-01","2018-01-19 09:45:18","2018-01-19 09:45:18","","184-189","","2","55","","Behavioral Ecology and Sociobiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBZAU85L","journalArticle","2001","Hougardy, Evelyne; Grégoire, Jean-Claude","Bark-beetle parasitoids population surveys following storm damage in spruce stands in the Vosges region (France)","Integrated Pest Management Reviews","","","","","","2001","2018-01-19 09:45:14","2018-01-19 09:45:14","","163-168","","3-4","6","","","","","","","","","","","","","","","","","","","","","","","Grégoire, Jean-Claude; Stephen, Fredrick; Salom, Scott","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A93CLTUQ","journalArticle","2000","Hougardy, E.; Grégoire, J.-C.","Spruce stands provide natural food sources to adult hymenopteran parasitoids of bark beetles","Entomologia Experimentalis et Applicata","","1570-7458","10.1046/j.1570-7458.2000.00704.x","http://dx.doi.org/10.1046/j.1570-7458.2000.00704.x","Adults of synovigenic hymenopteran parasitoids of bark beetles need supplemental feeding to maximise their lifetime realised fecundity, and yet little is known about the natural sources that provide this food. Here we show that, in spite of the reduced diversity of flowering plants expected in even-aged spruce plantations, several plant species are present that might provide nectar and pollen to the hymenopteran parasitoid complex of Ips typographus L. (Coleoptera: Scolytidae), throughout the growing season. Conifer aphids are also abundant in these stands and produce large amounts of honeydew, which might also be consumed by the parasitoids. Laboratory experiments demonstrate that longevity is significantly increased in Coeloides bostrychorum Giraud (Hymenoptera: Braconidae) when the wasps are exposed to flowers of various species commonly found in spruce stands.","2000-09-01","2018-01-19 09:45:10","2018-01-19 09:45:10","","253-263","","3","96","","","","","","","","","","","","","","","","","","","","","Ips typographus; Scolytidae; adult feeding; bark beetles; Coeloides bostrychorum; natural enemies; natural food resources; parasitoids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHM47FF8","journalArticle","2008","Hautier, Louis; Grégoire, Jean-Claude; de Schauwers, Jérôme; Martin, Gilles San; Callier, Pierre; Jansen, Jean-Pierre; de Biseau, Jean-Christophe","Intraguild predation by Harmonia axyridis on coccinellids revealed by exogenous alkaloid sequestration","Chemoecology","","1423-0445","10.1007/s00049-008-0405-4","https://doi.org/10.1007/s00049-008-0405-4","Under laboratory conditions, the multicolored Asian lady beetle, Harmonia axyridis is well known as an intraguild predator of other ladybirds. However the real impact of this exotic species on native species was poorly investigated in the field. Because many ladybird species produce alkaloids as defensive compounds, we propose here a new method of intraguild predation monitoring in coccinellids based on alkaloid quantification by GC-MS. In laboratory experiments, adaline was unambiguously detected in fourth instar larvae of H. axyridis having ingested one egg or one first instar larva of Adalia bipunctata. Although prey alkaloids in the predator decreased with time, traces were still detected in pupae, exuviae and imagines of H. axyridis having ingested one prey when they were fourth instar larvae. Analysis of H. axyridis larvae collected in two potato fields shows for the first time in Europe the presence of exogenous alkaloids in 9 out of 28 individuals tested. This new method of intraguild predation detection could be used more widely to follow the interactions between predators and potential chemically defended insect preys.","2008-09-01","2018-01-19 09:44:57","2018-01-19 09:44:57","","191-196","","3","18","","Chemoecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K5RHN9I","journalArticle","2000","Franklin, Anne J.; Debruyne, Catherine; Grégoire, Jean-Claude","Recapture of Ips typographus L. (Col., Scolytidae) with attractants of low release rates: localized dispersion and environmental influences","Agricultural and Forest Entomology","","1461-9563","10.1046/j.1461-9563.2000.00075.x","http://dx.doi.org/10.1046/j.1461-9563.2000.00075.x","1 The dispersal of Ips typographus L. (Col., Scolytidae) was studied using a mark–release–recapture approach in a grid of traps equipped with pheromone lures of release rates of about 8.4 mg/day of 2-methyl-3-buten-2-ol (MB) and 0.29 mg/day of (S)-cis-verbenol (cV) in experiment 1, and 1.2 mg/day of MB and 0.04 mg/day of cV in experiment 2. 2 We investigated whether beetle dispersal reflected the simple diffusion pattern observed in previous I. typographus experiments, for which attractant release rates generally approached 50 mg/day of MB and 1 mg/day of cV. We also examined how environmental parameters (wind) and human activities (felling) could influence the beetles' flight. 3 The recapture percentage was higher in experiment 1 than in experiment 2: respectively, 7.0% (with 64 traps) and 2.3% (with 100 traps) of the beetles that took off were caught in the traps. 4 With the higher release rate (experiment 1), trap catches decreased with increased distance, whereas with the lower release rate (experiment 2), trap catches rose between 50 and 100 m then decreased with increasing distance. 5 Flight was little orientated by prevailing wind directions, a feature probably explained by the low wind speeds (0–1.2 m/s) observed throughout the study. 6 High trap catches of unmarked beetles close to areas undergoing thinning activities suggest that the presence of freshly cut spruce and larch material could have an influence on dispersal, attracting the beetles into the felling area. Spatial analyses show that capture patterns were autocorrelated up to distances of about 250 m.","2000-11-01","2018-01-19 09:44:07","2018-01-19 09:44:07","","259-270","","4","2","","","","","","","","","","","","","","","","","","","","","Ips typographus; Scolytidae; Dispersal; environmental influences; host attraction; release–recapture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75X3P4NU","journalArticle","2001","Franklin, Anne J.; Grégoire, Jean-Claude","Dose-Dependent Response and Preliminary Observations on Attraction Range of Ips typographus to Pheromones at Low Release Rates","Journal of Chemical Ecology","","1573-1561","10.1023/A:1013619313415","https://doi.org/10.1023/A:1013619313415","Responses of the European spruce bark beetle, I. typographus (Coleoptera: Scolytidae), to low release-rate pheromones were investigated in two experiments in a spruce forest at Wellin, southern Belgium. Dose–response of the beetle was first examined in a trapping experiment in August 1999. The major pheromone components of I. typographus, (S)-cis-verbenol (cV) and 2-methyl-3-buten-2-ol (MB) were released from window traps. Five treatments were replicated five times: (1) blank trap, (2) 0.03 and 1.2, (3) 0.11 and 4.5, (4) 0.34 and 15.2 mg/day of cV and MB, respectively, and (5) Pheroprax. Trap catches increased linearly as a function of increasing release rates of cV and MB. A second study aimed at making preliminary observations on the attraction range of the pheromones as compared to Pheroprax. A release–recapture experiment was carried out in May 2000: four trap-trees located 50 m away from a central release platform were equipped with window traps baited with increasing release rates, tested in separate releases: 0.03 and 1.2; 0.11 and 4.5; 0.34 and 15.2 mg/day of cV and MB, respectively, and Pheroprax. Recaptures increased with the release rate. Trap catches were different at lower release rates, but not between the release rate of 15.2 mg/day of MB and Pheroprax. Variations in captures in relation to wind parameters showed persistently random flight at the lower release rates. Significant upwind flight was observed for Pheroprax only. These results imply that trap interference existed for Pheroprax and suggest that its attraction range may be greater than 50 m.","2001-12-01","2018-01-19 09:43:57","2018-01-19 09:43:57","","2425-2435","","12","27","","Journal of Chemical Ecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2AKI3EE","journalArticle","2017","Gilbert, Marius; Prosser, Diann J.; Zhang, Geli; Artois, Jean; Dhingra, Madhur S.; Tildesley, Michael; Newman, Scott H.; Guo, Fusheng; Black, Peter; Claes, Filip; Kalpradvidh, Wantanee; Shin, YeunKyung; Jeong, Wooseog; Takekawa, John Y.; Lee, Hansoo; Xiao, Xiangming","Could Changes in the Agricultural Landscape of Northeastern China Have Influenced the Long-Distance Transmission of Highly Pathogenic Avian Influenza H5Nx Viruses?","Frontiers in Veterinary Science","","2297-1769","10.3389/fvets.2017.00225","https://www.frontiersin.org/articles/10.3389/fvets.2017.00225/full","In the last few years, several reassortant subtypes of highly pathogenic avian influenza viruses (HPAI H5Nx) have emerged in East Asia. These new viruses, mostly of subtype H5N1, H5N2, H5N6 and H5N8 belonging to clade 2.3.4.4, have been found in several Asian countries and have caused outbreaks in poultry in China, South Korea, and Vietnam. HPAI H5Nx also have spread over considerable distances with the introduction of viruses belonging to the same 2.3.4.4 clade in the U.S. (2014-2015) and in Europe (2014-2015 and 2016-2017). In this paper, we examine the emergence and spread of these new viruses in Asia in relation to published datasets on HPAI H5Nx distribution, movement of migratory waterfowl, avian influenza risk models, and land-use change analyses. More specifically, we show that between 2000 and 2015, vast areas of northeast China have been newly planted with rice paddy fields (3.21 million ha in Heilongjiang, Jilin, and Liaoning) in areas connected to other parts of Asia through migratory pathways of wild waterfowl. We hypothesize that recent land use changes in northeast China have affected the spatial distribution of wild waterfowl, their stopover areas, and the wild-domestic interface thereby altering transmission dynamics of avian influenza viruses across flyways. Detailed studies of the habitat use by wild migratory birds, of the extent of the wild-domestic interface, and of the circulation of avian influenza viruses in those new planted areas may help to shed more light on this hypothesis, and on the possible impact of those changes on the long-distance patterns of avian influenza transmission.","2017","2017-12-20 11:55:43","2017-12-20 11:55:43","2017-12-20 11:55:43","","","","4","","Front. Vet. Sci.","","","","","","","","English","","","","","Frontiers","","","","/Users/simondellicour/Zotero/storage/F7ANQQY8/Gilbert et al. - 2017 - Could Changes in the Agricultural Landscape of Nor.pdf","","","agriculture and public health; avian influenza; disease ecology; land use change; spatial epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQBEQ7JK","journalArticle","","Chaiban, Celia; Thanapongtharm, Weerapong; Robinson, T. P.; Xiao, Xiangming; Tildesley, Michael J.; Vanwambeke, Sophie O; Gilbert, Marius","Point-pattern simulation modelling of chicken farms in Thailand: level of clustering and landscape characteristics","","","","","","","Submitted","2017-12-06 10:23:50","2017-12-06 10:24:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
