"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BHM7QHPU","bookSection","2013","Thiéry; Vidal; Gauthier, N.; Derridji; Vercambre; Goebel; Grégoire, J.-C.; Lieutier, F.","Histoire de l'installation de quelques ravageurs","Interactions insectes-plantes, Interactions insectes-plantes","","","","http://hdl.handle.net/2013/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/157764","","2013","2017-10-13 20:17:00","2018-01-19 09:54:07","","623-662","","","","","","","","","","","Quae & IRD","","na","","","","","","","","","","https://dipot.ulb.ac.be/dspace/bitstream/2013/157764/3/Thiery_et_al_2013.pdf","Ecologie; Entomologie; Phytoparasitologie et phytopathologie; Zoologie forestierecynégétique","","Sauvion; Calatayud, P.A.; Thiéry; Marion-Poll","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6HMVA9D","bookSection","2012","Stassart, Pierre; Baret, Philippe; Grégoire, Jean-Claude; Hance, Thierry; Mormont, Marc; Reheul, Dirk; Stilmant, Didier; Vanloqueren, G.; Visser, Marjolein","L’agroécologie : trajectoire et potentiel. Pour une transition vers des systèmes alimentaires durables.","Agroécologie. Entre pratiques et sciences sociales","978-2-84444-980-1 978-2-84444-876-7","","","","","2012","2018-01-19 09:46:10","2018-01-19 09:46:10","","25-51","","","","","","","","","","","Educagri éd.","Dijon","French","","","","","Open WorldCat","","","","","","","","Van Dam, Denise; Streith, M.; Nizet, J.; Stassart, PM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EZQXLAGH","bookSection","2004","Kenis, M.; Wermelinger, B.; Grégoire, J.-C.","Research on Parasitoids and Predators of Scolytidae – A Review","Bark and Wood Boring Insects in Living Trees in Europe, a Synthesis","978-1-4020-2241-8","","","https://doi.org/10.1007/978-1-4020-2241-8_11","","2004","2018-01-19 09:45:39","2018-01-19 09:45:39","","237-290","","","","","","","","","","","Springer Netherlands","Dordrecht","","","","","","","","DOI: 10.1007/978-1-4020-2241-8_11","","","","","","Lieutier, François; Day, Keith R.; Battisti, Andrea; Grégoire, Jean-Claude; Evans, Hugh F.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZBPPXNL","bookSection","2009","Grégoire, Jean-Claude; Hougardy, Evelyne; Molenberg, Jean-Marc; Warzée, Nathalie","Epidémiologie des scolytes de l'épicéa et de leurs ennemis naturels","La forêt face aux tempêtes","978-2-7592-0330-7","","","","","2009","2018-01-19 09:45:04","2018-01-19 09:45:04","","111-120","","","","","","","Synthèses","","","","Éditions Quae","Versailles","fre","","","","","Gemeinsamer Bibliotheksverbund ISBN","","","","","","","","Birot, Yves; Landmann, Guy; Bonhême, Ingrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RA8PPXHS","bookSection","2002","Gilbert, Marius; Jenner, C.; Pender, J.; Rogers, David; Slingenbergh, Jan; Wint, William","The Programme Against African Trypanosomiasis Information System (PAATIS)","The African Trypanosomes","","","","http://link.springer.com/10.1007/0-306-46894-8_2","","2002","2016-09-30 05:04:52","2016-09-30 05:04:52","2016-09-30 05:04:52","11–24","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","/home/yann/Work/Bibliography/Zotero/storage/A7J9KQSQ/2001GilbertPAATIS.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHDAZX76","book","2016","","Neoliberal Ebola","","978-3-319-40939-9 978-3-319-40940-5","","","http://link.springer.com/10.1007/978-3-319-40940-5","","2016","2016-09-30 05:11:52","2016-09-30 05:11:52","2016-09-30 05:11:52","","","","","","","","","","","","Springer International Publishing","Cham","en","","","","","CrossRef","","","","/home/yann/Work/Bibliography/Zotero/storage/9A3BRXU2/2006WallaceNeoLiberalEbola2016.pdf","","","","Wallace, Robert G.; Wallace, Rodrick","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68IFEDTP","bookSection","2009","Grégoire, Jean-Claude; Gilbert, Marius; De Cannière, Charles; Delplace","Méthodes d’évaluation des attaques d'Ips typographus (Coleoptera, Scolytinae) en pessière","La forêt face aux tempêtes","978-2-7592-0330-7","","","","","2009","2018-01-19 09:44:45","2018-01-19 09:44:45","","77-99","","","","","","","Synthèses","","","","Éditions Quae","Versailles","fre","","","","","Gemeinsamer Bibliotheksverbund ISBN","","","","","","","","Birot, Yves; Landmann, Guy; Bonhême, Ingrid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEJU77ZX","bookSection","2007","Grégoire, J.-C.; Evans, H. F.","Damage and control of BAWBILT organisms an overview","Bark and wood boring insects in living trees in Europe, a synthesis","","","","http://link.springer.com/content/pdf/10.1007/978-1-4020-2241-8_4.pdf","","2007","2018-01-19 09:44:39","2018-01-19 09:44:39","","19-37","","","","","","","","","","","Springer","","","","","","","Google Scholar","","","","; ","http://www.ulb.ac.be/sciences/lubies/offprint/2004GregoireBawbilt.pdf; https://link.springer.com/chapter/10.1007/978-1-4020-2241-8_4?no-access=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FG487K7U","bookSection","2015","Raffa, Kenneth Francis K.F.; Grégoire, Jean-Claude; Lindgren, Staffan B.S.","Natural History and Ecology of Bark Beetles","Bark Beetles: Biology and Ecology of Native and Invasive Species","978-0-12-417156-5","","","http://hdl.handle.net/2013/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/220716","Scolytine beetles show enormous diversity in their mating behaviors, host plant associations, chemical and acoustic signaling, symbiotic relationships, and other critical aspects of their life histories. They can be monogamous or polygamous, solitary or gregarious, and employ levels of parental care that range from gallery maintenance in many tribes to eusociality in some ambrosia beetles. Within this complexity, however, scolytines display some generalities that arise from reproducing within plants, such as sophisticated host location systems, morphological adaptations that facilitate tunneling, advanced communication systems that provide very specific information about plants, and close associations with microbial symbionts. Bark beetles produce pheromones that both attract mates and serve additional functions that vary with the beetles' host-plant relationships. Some species use aggregation pheromones to coordinate cooperative resource procurement, a behavior needed to overcome the sophisticated defenses of live trees. A broad array of microbial symbionts is associated with bark beetles, and these fungi and bacteria vary in their degrees of association, impacts, mechanisms, and functional substitutabilities. Some symbionts contribute to acquisition, utilization, and defense of the host plant resource, and some provide a direct food base. A wide array of predators, competitors, and parasites exploit bark beetles. Many of these natural enemies utilize chemical signals emanating from the beetles or their symbionts in host location, depending on the stage they attack. The habitat in which bark beetles reside poses significant challenges to predators and parasites, so their effects on population dynamics are often limited. Some behavioral, reproductive, and landscape patterns emerge when bark beetle species are functionally categorized by the physiological condition of host plants they colonize. Bark beetles play important and varied roles in ecosystem processes, contributing to biodiversity, nutrient cycling, and heterogeneity. They also pose challenges to resource management in both native and commercial ecosystems. The scale at which beetles exert impacts varies markedly among functional groups, with most species having very localized effects. A few species exert landscape-scale effects, and these ecosystem engineers are among the most pronounced disturbance agents of the biomes they help shape. Their population dynamics are characterized by cross-scale interactions, density-dependent feedbacks, plasticity in host selection decisions, critical thresholds at multiple levels of interaction, and multi-equilibria. A variety of anthropogenic inputs, specifically transport into new regions, habitat manipulations that homogenize forest structure or impede predators, and climatic changes such as elevated temperature and increased drought, increase the socioeconomic losses caused by both eruptive and historically noneruptive species.","2015","2017-10-13 20:17:00","2017-10-13 20:17:00","","1-40","","","","","","","","","","","Elsevier Inc.","","en","","","","","","","","","","https://dipot.ulb.ac.be/dspace/bitstream/2013/220716/1/Elsevier_204343.pdf","Ecology; pheromones; bark beetles; Biology; Généralités; Natural history; Plant defense; Population dynamics; Scolytinae; Symbioses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNR4WX77","bookSection","2015","Grégoire, Jean-Claude; Raffa, Kenneth Francis K.F.; Lindgren, Staffan B.S.","Economics and Politics of Bark Beetles","Bark Beetles: Biology and Ecology of Native and Invasive Species","978-0-12-417156-5","","","http://hdl.handle.net/2013/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/226724","Large bark beetle outbreaks are regarded as major forest disturbances, ranking first in the USA before hurricanes, tornadoes, and fire, with a 20,400,000ha average annual impact area and annual average costs (shared with pathogens) above US$2 billion per year. In Europe, over the period 1950-2000, insect damage (which equates mostly to bark beetles) ranked third, with 8% of the total damage due to forest disturbances. The damage amounted to 2.88 million m3 per year between 1958 and 2001. The major direct economic consequences of these outbreaks have been widely analyzed, various mitigation methods have been designed and implemented, and diverse political, industrial, and commercial initiatives have been developed to salvage the remains of the devastated forests. However, the many other environmental and sociological consequences of these disturbances are still largely unexplored. Significant progress has been made in analyzing the multi-scale positive influence of bark beetle activity, from the landscape to the stand level, as well as the various socioeconomic changes brought by bark beetle outbreaks. Silvicultural, environmental, and social consequences of bark beetle outbreaks are described and discussed, as well as the different issues related to the salvage of damaged forests. The wider context of management policies, including risk management and exotic species management, is discussed. Five case studies are presented to illustrate how biological features of specific systems lead to particular sociopolitical issues: Ips typographus in Europe; secondary ambrosia beetles attacking living beech in Europe; Dendroctonus rufipennis in Alaska; Dendroctonus ponderosae in British Columbia; and Ips pini in North America.","2015","2017-10-13 20:17:00","2017-10-13 20:17:00","","585-613","","","","","","","","","","","Elsevier Inc.","","en","","","","","","","","","","https://dipot.ulb.ac.be/dspace/bitstream/2013/226724/1/Elsevier_210351.pdf","Généralités; Scolytinae; Bark beetle; Damage; Environmental services; Exotic species; RISK; Salvage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
